year,party,intervention,type,count
1946,Progressive Conservative,10692,environment,2
1948,Liberal,16392,environment,4
1973,Progressive Conservative,19871,environment,400
1975,Progressive Conservative,16532,environment,291
1975,Liberal,23973,environment,336
1976,Progressive Conservative,14901,environment,335
1976,Liberal,20417,environment,267
1976,Social Credit,1102,environment,16
1976,New Democratic Party,4322,environment,112
1977,Progressive Conservative,16764,environment,314
1977,Social Credit,991,environment,21
1978,Progressive Conservative,13109,environment,289
1980,Progressive Conservative,10571,environment,225
1981,Progressive Conservative,15279,environment,265
1982,Liberal,20631,environment,178
1985,Progressive Conservative,25634,environment,420
1988,Liberal,8938,environment,281
1989,New Democratic Party,4484,environment,435
1990,New Democratic Party,6022,environment,538
1991,Progressive Conservative,13572,environment,439
1994,Reform,5958,environment,272
1997,Liberal,8061,environment,393
1997,Reform,4463,environment,192
1997,New Democratic Party,1166,environment,100
1999,Reform,6223,environment,190
2000,Canadian Alliance,75,environment,1
2000,New Democratic Party,1897,environment,150
2001,New Democratic Party,2157,environment,290
2001,Liberal,11369,environment,663
2001,Canadian Alliance,6220,environment,329
2001,Progressive Conservative,1827,environment,131
2002,Bloc Québécois,3337,environment,316
2002,Canadian Alliance,6377,environment,581
2002,Liberal,11121,environment,654
2002,New Democratic Party,1889,environment,237
2002,Progressive Conservative,1748,environment,117
2003,Liberal,10019,environment,438
2003,Bloc Québécois,2916,environment,158
2004,Liberal,9444,environment,547
2004,Bloc Québécois,2842,environment,172
2005,Liberal,10752,environment,732
2005,Bloc Québécois,3392,environment,255
2005,Conservative,8071,environment,419
2005,New Democratic Party,2195,environment,275
2006,Liberal,7524,environment,603
2006,Bloc Québécois,3093,environment,286
2006,Conservative,10677,environment,657
2006,New Democratic Party,3921,environment,321
2007,Liberal,8717,environment,586
2007,Bloc Québécois,3502,environment,339
2007,New Democratic Party,4841,environment,381
2007,Conservative,12362,environment,848
2008,New Democratic Party,3497,environment,298
2008,Liberal,6953,environment,408
2008,Bloc Québécois,2780,environment,198
2008,Conservative,10054,environment,497
2009,New Democratic Party,6650,environment,611
2009,Liberal,9156,environment,474
2009,Bloc Québécois,4434,environment,421
2009,Conservative,13468,environment,618
2010,New Democratic Party,6075,environment,576
2010,Liberal,8176,environment,470
2010,Conservative,12269,environment,669
2010,Bloc Québécois,3872,environment,310
2011,Conservative,12737,environment,501
2011,New Democratic Party,9010,environment,474
2011,Liberal,5257,environment,264
2012,Liberal,5344,environment,441
2013,Conservative,14842,environment,626
2013,New Democratic Party,11652,environment,883
2014,New Democratic Party,13401,environment,1010
2014,Liberal,4914,environment,244
2014,Conservative,16871,environment,787
2015,New Democratic Party,7224,environment,511
2016,Liberal,9467,environment,528
2016,Conservative,6230,environment,289
